 IPMSB_GD_R102        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails    1983/3064 Selected Drills           16-Oct-2010 11:01
                       2054 Nails, 2213 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$176       1.912     3.964   2  E2   (B)  #2016 TP_PCH_BKLTEN    V PIN ST81.1
$177       1.999     4.000   1  E2   (B)  #1947 TP_CLKOUT_PEG_B# V PIN ST54.1
$178       1.906     4.076   2  E2   (B)  #2015 TP_PCH_BKLCTL    V PIN ST80.1
$179       2.050     4.082   1  E2   (B)  #338  1394_PE1_RXP5    V VIA .
$180       2.152     3.870   2  E2   (B)  #678  PCH_CLKIN_DMI2_GND1 V VIA .
$181       2.216     3.822   2  E2   (B)  #677  PCH_CLKIN_DMI2_GND1# V VIA .
$182       2.185     3.757   2  E2   (B)  #1932 CK_100M_DMI      V VIA .
$183       2.339     3.779   1  E2   (B)  #1186 DMICOMP          V VIA .
$184       2.406     3.906   2  E2   (B)  #1884 PE1_RXP2         V VIA .
$185       2.332     3.916   2  E2   (B)  #1880 PE1_RXN2         V VIA .
$186       2.326     4.179   1  E2   (B)  #195  DVI_TMDSB_DATA1  V VIA .
$187       2.232     4.275   1  E2   (B)  #1915 TP_PCH_DDPBAUXP  V PIN ST72.1
$188       2.167     4.193   1  E2   (B)  #1914 TP_PCH_DDPBAUXN  V PIN ST73.1
$189       2.042     4.295   1  E2   (B)  #1919 SDVO_INTP        V PIN ST78.1
$190       1.974     4.219   1  E2   (B)  #1948 TP_CLKOUT_PEG_B  V PIN ST55.1
$191       1.794     4.294   2  E2   (B)  #1109 DDPD_CTRL_CLK    V VIA .
$192       1.956     4.368   1  E2   (B)  #1937 TP_CPU_AE6       V PIN ST42.1
$193       1.954     4.455   2  E2   (B)  #1938 TP_CPU_AC6       V PIN ST43.1
$194       2.095     4.364   2  E2   (B)  #1918 SDVO_INTN        V PIN ST79.1
$195       2.184     4.367   2  E2   (B)  #1917 TP_PCH_DDPDAUXP  V PIN ST76.1
$196       2.223     4.423   2  E2   (B)  #1916 TP_PCH_DDPDAUXN  V PIN ST77.1
$197       2.174     4.621   1  D2   (B)  #1939 CK_100M_1394#    V VIA .
$198       2.252     4.718   1  D2   (B)  #1946 CK_100M_PE2      V VIA .
$199       2.228     4.863   1  D2   (B)  #513  DDPD_HPD_HDMI    V VIA .
$200       2.194     4.786   2  D2   (B)  #1940 CK_100M_1394     V VIA .
$201       2.162     4.702   2  D2   (B)  #1942 CK_100M_LAN      V VIA .
$202       2.012     4.759   1  D2   (B)  #1224 CK_100M_PCHXDP   V VIA .
$203       1.624     4.619   2  D2   (B)  #679  REFCLK14IN       V VIA .
$204       1.528     4.591   1  E2   (B)  #952  N21346679        V VIA .
$205       1.522     5.489   2  D2   (B)  #1113 SDVO_CTRL_DATA   V VIA .
$206       1.600     5.472   1  D2   (B)  #395  DDPC_CTRL_DATA   V VIA .
$207       1.872     5.345   1  D2   (B)  #1225 CK_100M_PCHXDP#  V VIA .
$208       1.955     5.462   1  D2   (B)  #1738 CK_100M_BRIDGE#  V VIA .
$209       2.251     5.185   1  D2   (B)  #1945 CK_100M_PE2#     V VIA .
$210       2.448     5.472   1  D2   (B)  #511  DDPB_HPD_DVI     V VIA .
$211       2.043     5.843   1  D2   (B)  #1739 CK_100M_BRIDGE   V VIA .
$212       2.307     6.152   1  C2   (B)  #306  USB3_PE1_TXP4    V VIA .
$213       2.114     6.264   2  C2   (B)  #266  PE1_TXN3         V VIA .
$214       2.105     6.417   1  C2   (B)  #268  PE1_TXP3         V VIA .
$215       2.180     6.616   2  C2   (B)  #1819 CK_100M_USB3     V VIA .
